1;arms_factory;2949.00;12.00;1360.00;4.12;0
1;arms_factory;2949.00;12.00;1360.00;0.50;0
1;arms_factory;2948.00;10.05;1356.00;2.05;0
1;arms_factory;2945.00;9.68;1358.00;6.18;0
1;arms_factory;2945.00;11.88;1369.00;2.56;0
1;arms_factory;2951.00;11.63;1365.00;4.12;0
1;industrial_complex;2946.00;12.88;1367.00;0.50;0
1;industrial_complex;2950.00;10.65;1371.00;4.62;0
1;industrial_complex;2950.00;10.65;1371.00;5.83;0
1;industrial_complex;2949.00;12.28;1361.00;2.56;0
1;industrial_complex;2950.00;12.05;1361.00;5.23;0
1;industrial_complex;2946.00;9.68;1357.00;1.61;0
1;naval_base;2943.00;9.50;1360.00;-0.59;5579
1;naval_base;2945.00;9.88;1372.00;-3.14;5555
1;naval_base;2954.00;9.68;1364.00;1.57;5579
1;naval_base;2945.00;9.50;1355.00;-0.79;5579
1;bunker;2947.00;10.13;1372.00;4.18;0
1;bunker;2952.00;10.80;1364.00;5.74;0
1;bunker;2948.00;10.05;1356.00;2.12;0
1;bunker;2946.00;11.63;1364.00;4.79;0
1;bunker;2944.00;9.78;1361.00;1.52;0
1;coastal_bunker;2942.00;9.50;1363.00;-0.59;0
1;coastal_bunker;2952.00;9.50;1376.00;-3.14;0
1;coastal_bunker;2949.00;9.50;1352.00;-0.79;0
1;coastal_bunker;2954.00;9.93;1368.00;1.57;0
1;dockyard;2944.00;10.25;1371.00;-2.98;0
2;arms_factory;2997.00;10.38;1368.00;2.05;0
2;arms_factory;3000.00;10.10;1365.00;6.18;0
2;arms_factory;3008.00;10.68;1359.00;2.56;0
2;arms_factory;3016.00;11.00;1355.00;4.12;0
2;arms_factory;3010.00;9.75;1352.00;0.50;0
2;arms_factory;2998.00;9.70;1361.00;4.62;0
2;industrial_complex;2998.00;9.70;1360.00;5.83;0
2;industrial_complex;2994.00;10.00;1367.00;2.56;0
2;industrial_complex;2990.00;9.68;1367.00;5.23;0
2;industrial_complex;3002.00;9.90;1362.00;1.61;0
2;industrial_complex;3015.00;10.85;1354.00;4.28;0
2;industrial_complex;3017.00;10.75;1353.00;1.01;0
2;naval_base;2994.00;9.50;1361.00;-1.11;5656
2;naval_base;3008.00;9.50;1349.00;-0.79;5656
2;naval_base;3000.00;9.50;1354.00;-0.32;5656
2;naval_base;2989.00;9.50;1365.00;-1.03;5579
2;bunker;2999.00;10.28;1367.00;2.12;0
2;bunker;3002.00;9.68;1358.00;4.79;0
2;bunker;2990.00;9.68;1367.00;1.52;0
2;bunker;3000.00;9.70;1358.00;2.73;0
2;bunker;3013.00;11.55;1358.00;0.57;0
2;bunker;3009.00;9.70;1352.00;3.24;0
2;bunker;3012.00;10.48;1353.00;4.79;0
2;coastal_bunker;2994.00;9.50;1361.00;-1.11;0
2;coastal_bunker;2989.00;9.50;1364.00;-1.03;0
2;coastal_bunker;3000.00;9.50;1355.00;-0.32;0
2;coastal_bunker;3007.00;9.50;1351.00;-0.79;0
2;dockyard;2987.00;9.50;1367.00;-1.03;0
3;arms_factory;2921.00;10.53;1459.00;2.56;0
3;arms_factory;2923.00;11.18;1459.00;4.12;0
3;arms_factory;2918.00;11.15;1463.00;0.50;0
3;arms_factory;2924.00;14.45;1451.00;4.62;0
3;arms_factory;2923.00;10.60;1463.00;5.83;0
3;arms_factory;2921.00;10.75;1458.00;2.56;0
3;industrial_complex;2920.00;13.43;1453.00;5.23;0
3;industrial_complex;2922.00;14.30;1453.00;1.61;0
3;industrial_complex;2917.00;11.38;1463.00;4.28;0
3;industrial_complex;2924.00;10.50;1462.00;1.01;0
3;industrial_complex;2922.00;10.60;1463.00;5.13;0
3;industrial_complex;2925.00;12.73;1458.00;0.06;0
3;bunker;2922.00;14.32;1452.00;4.18;0
3;bunker;2924.00;10.93;1460.00;5.74;0
3;bunker;2927.00;14.45;1452.00;2.12;0
3;bunker;2916.00;11.25;1462.00;4.79;0
3;bunker;2925.00;10.53;1463.00;1.52;0
3;bunker;2921.00;10.45;1460.00;2.73;0
4;arms_factory;3040.00;11.20;1483.00;0.50;0
4;arms_factory;3060.00;9.98;1490.00;4.62;0
4;arms_factory;3052.00;11.57;1497.00;5.83;0
4;arms_factory;3055.00;12.70;1483.00;2.56;0
4;arms_factory;3054.00;10.10;1490.00;5.23;0
4;arms_factory;3063.00;9.90;1495.00;1.61;0
4;industrial_complex;3041.00;11.32;1484.00;4.28;0
4;industrial_complex;3057.00;12.65;1482.00;1.01;0
4;industrial_complex;3043.00;14.15;1489.00;5.13;0
4;industrial_complex;3050.00;12.32;1502.00;0.06;0
4;industrial_complex;3062.00;9.90;1491.00;4.18;0
4;industrial_complex;3064.00;10.60;1484.00;5.74;0
4;bunker;3057.00;10.57;1499.00;2.12;0
4;bunker;3053.00;11.95;1502.00;4.79;0
4;bunker;3064.00;9.85;1489.00;1.52;0
4;bunker;3047.00;11.43;1486.00;2.73;0
4;bunker;3067.00;10.10;1482.00;0.57;0
4;bunker;3052.00;11.07;1486.00;3.24;0
4;bunker;3046.00;12.70;1497.00;4.79;0
4;bunker;3042.00;11.45;1484.00;2.63;0
4;bunker;3040.00;13.63;1475.00;5.30;0
4;bunker;3064.00;10.65;1481.00;1.68;0
5;arms_factory;3137.00;9.70;1610.00;5.83;0
5;arms_factory;3129.00;9.65;1615.00;2.56;0
5;arms_factory;3130.00;9.70;1615.00;5.23;0
5;arms_factory;3128.00;9.60;1614.00;1.61;0
5;arms_factory;3131.00;9.70;1614.00;4.28;0
